Cn,Ct,ec (cm3),ep (KW),Ewltp (g/km)
RAV4,M1,2487.0,131.0,133.0
NISSAN MICRA,M1,999.0,68.0,124.0
CRAFTER-OLMEDO SPA,N1,1968.0,75.0,250.0
NISSAN QASHQAI,M1,1332.0,103.0,143.0
COROLLA,M1,1798.0,72.0,112.0
3008,M1,1598.0,133.0,31.0
OCTAVIA,M1,1498.0,110.0,129.0
CEED,M1,1580.0,77.0,29.0
Puma,M1,999.0,,127.0
ID.3 PURE 110KW,M1,,70.0,0.0
SANDERO,M1,999.0,74.0,115.0
Q3 SPORTBACK,M1,1968.0,140.0,193.0
2008,M1,1499.0,81.0,118.0
DUSTER,M1,999.0,67.0,142.0
SX4,M1,1373.0,95.0,140.0
KADJAR,M1,1332.0,103.0,141.0
ARTEON,M1,1984.0,206.0,198.0
PANDA,M1,1242.0,51.0,120.0
FORMENTOR,M1,1968.0,110.0,158.0
X3 XDRIVE20D,M1G,1995.0,140.0,159.0
OCTAVIA,M1,1968.0,110.0,118.0
Ceed,M1,1482.0,117.0,136.0
DOKKER,M1,1461.0,70.0,132.0
Q3,M1,1968.0,110.0,159.0
MAZDA CX-3/G121/REVOLUTION,M1,1998.0,89.0,140.0
Kuga,M1,1496.0,111.0,152.0
N208,M1,1199.0,74.0,118.0
A6 LIMOUSINE,M1,1968.0,150.0,145.0
108,M1,998.0,53.0,110.0
ID.3 PRO 150KW,M1,,70.0,0.0
CLUBMAN ONE D,M1,1496.0,85.0,129.0
KADJAR,M1,1332.0,103.0,145.0
E-TRON GT,M1,,140.0,0.0
508,M1,1598.0,133.0,31.0
LYNK & CO 01,M1,1477.0,132.0,27.0
X2 XDRIVE25E,M1,1499.0,92.0,41.0
YARIS,M1,1490.0,68.0,97.0
A110,M1,1798.0,185.0,152.0
FABIA,M1,999.0,70.0,121.0
TOUAREG EHYBRID,M1G,2995.0,250.0,63.0
DUSTER,M1,999.0,74.0,128.0
2008,M1,1199.0,96.0,137.0
MX-5,M1,1998.0,135.0,155.0
C-HR,M1,1798.0,72.0,110.0
OCTAVIA,M1,1968.0,110.0,126.0
A4 AVANT,M1,1968.0,120.0,131.0
ARONA,M1,1598.0,70.0,126.0
CLASSE A,M1,1332.0,120.0,138.0
X3 XDRIVE 30E,M1G,1998.0,135.0,47.0
TOYOTA RAV4,M1,2487.0,136.0,22.0
T-ROC,M1,1498.0,110.0,147.0
CORSA,M1,,57.0,0.0
SANDERO,M1,999.0,67.0,128.0
POLO,M1,999.0,66.0,102.0
3008,M1,1499.0,96.0,136.0
FIAT 500X,M1,1248.0,70.0,125.0
TOYOTA YARIS,M1,1490.0,68.0,88.0
JAGUAR E-PACE,M1,1998.0,120.0,170.0
Q5,M1,1968.0,120.0,154.0
CX-30,M1,1998.0,90.0,134.0
TOYOTA AYGO,M1,998.0,53.0,119.0
MOKKA,M1,1199.0,96.0,126.0
AYGO,M1,998.0,53.0,111.0
Model 3,M1,,219.0,0.0
C3,M1,1499.0,75.0,111.0
E 220 D 4MATIC ALLTERRAIN,M1,1950.0,143.0,164.0
KONA,M1,,28.0,0.0
AYGO,M1,998.0,53.0,113.0
C 220 D,M1,1993.0,147.0,125.0
SERIE 3,M1,1995.0,110.0,122.0
Q2,M1,999.0,81.0,141.0
GOLF,M1,1984.0,235.0,180.0
CAPTUR,M1,999.0,67.0,133.0
C3,M1,1199.0,61.0,123.0
Puma,M1,999.0,,128.0
TOYOTA RAV4,M1,2487.0,131.0,130.0
COOPER SE,M1,,75.0,0.0
PANDA,M1,999.0,52.0,115.0
MULTIVAN,M1,1968.0,110.0,196.0
OCTAVIA,M1,1498.0,110.0,124.0
X-TRAIL,M1,1332.0,116.0,164.0
E 220 D,M1,1950.0,143.0,152.0
CAPTUR E-TECH PLUG-IN HYBRID,M1,1598.0,68.0,
OCTAVIA,M1,1498.0,110.0,129.0
Fiesta,M1,999.0,69.0,120.0
GOLF,M1,1498.0,110.0,131.0
RIO,M1,1197.0,62.0,118.0
MODEL 3,M1,,100.0,0.0
208,M1,,57.0,0.0
FIAT 500,M1,999.0,52.0,117.0
PUMA,M1,999.0,92.0,127.0
KAROQ,M1,1498.0,110.0,151.0
KANGOO,M1,1461.0,70.0,144.0
SWIFT,M1,1197.0,61.0,106.0
C3 AIRCROSS,M1,1199.0,81.0,124.0
GLA 250 E,M1,1332.0,118.0,31.0
KAMIQ,M1,1498.0,110.0,141.0
KONA,M1,1598.0,100.0,134.0
RIO,M1,998.0,74.0,121.0
IBIZA,M1,999.0,81.0,116.0
ID.3 PRO 107 KW,M1,,107.0,0.0
KODIAQ,M1,1968.0,147.0,168.0
A6 AVANT,M1,2967.0,180.0,178.0
COMPASS,M1,1332.0,110.0,156.0
SPORTAGE,M1,1598.0,100.0,146.0
XC40,M1,1477.0,95.0,158.0
MAZDA3,M1,1998.0,132.0,157.0
CAPTUR,M1,1598.0,69.0,114.0
IONIQ5,M1,,53.0,0.0
T-ROC,M1,1498.0,110.0,143.0
"KONA, KAUAI",M1,,,0.0
GLB 250,M1,1991.0,165.0,177.0
CORSA,M1,1199.0,74.0,122.0
SPORTAGE,M1,1598.0,100.0,145.0
GOLF,M1,999.0,81.0,128.0
GLC 300 DE 4MATIC,M1,1950.0,143.0,56.0
VITARA,M1,1373.0,95.0,142.0
JUKE / 1.0 / AUT.,M1,999.0,86.0,146.0
TOYOTA YARIS,M1,998.0,53.0,128.0
YARIS,M1,1490.0,92.0,124.0
TOYOTA YARIS,M1,1490.0,68.0,89.0
RIFTER,M1,1499.0,75.0,139.0
Q3 SPORTBACK,M1,1498.0,110.0,158.0
COROLLA,M1,1987.0,112.0,119.0
SCALA,M1,999.0,81.0,119.0
208,M1,1499.0,75.0,108.0
ASTRA SPORTS TOURER,M1,1199.0,81.0,121.0
IBIZA,M1,999.0,66.0,102.0
208,M1,1199.0,74.0,118.0
STONIC/SILBER LIMITED/1.0 TGDI,M1,998.0,73.0,132.0
T-CROSS,M1,999.0,81.0,146.0
ID.3 PRO 150 KW,M1,,150.0,0.0
SUPERB,M1,1968.0,147.0,148.0
I20,M1,998.0,74.0,115.0
VITARA,M1,1373.0,95.0,130.0
SPRING,M1,,18.0,0.0
COROLLA,M1,1798.0,72.0,101.0
KODIAQ,M1,1968.0,110.0,138.0
220I,M1,1998.0,135.0,162.0
MULTIVAN,M1,1968.0,110.0,194.0
S 500 4MATIC,M1,2999.0,320.0,
MOKKA,M1,1199.0,96.0,135.0
508,M1,1499.0,96.0,124.0
X3 XDRIVE20D,M1G,1995.0,140.0,151.0
FOCUS,M1,1499.0,88.0,122.0
500,M1,999.0,51.0,113.0
ATECA,M1,1498.0,110.0,156.0
208,M1,1199.0,74.0,118.0
"SX4, SUZUKI SX4",M1,1373.0,95.0,133.0
2008,M1,1199.0,96.0,127.0
IONIQ,M1,1580.0,77.0,26.0
LOGAN,M1,999.0,67.0,106.0
KODIAQ,M1,1968.0,110.0,145.0
SCALA,M1,1498.0,110.0,131.0
POLO,M1,999.0,59.0,128.0
C 200,M1,1496.0,150.0,151.0
FORMENTOR,M1,1498.0,110.0,155.0
OCTAVIA,M1,1498.0,110.0,125.0
DUSTER,M1,1461.0,84.0,145.0
T-ROC,M1,1498.0,110.0,144.0
PANDA,M1,999.0,52.0,111.0
XC60,M1G,1969.0,186.0,56.0
CROSSLAND,M1,1199.0,81.0,133.0
CLIO,M1,999.0,67.0,118.0
GLC 300 de 4MATIC,M1,1950.0,143.0,50.0
A5 Sportback,M1,1968.0,120.0,127.0
218I ACTIVE TOURER,M1,1499.0,100.0,139.0
TUCSON IX35,M1,1598.0,110.0,150.0
208,M1,1199.0,74.0,122.0
PASSAT,M1,1968.0,110.0,127.0
108,M1,998.0,53.0,112.0
RAV4,M1,2487.0,131.0,126.0
Puma,M1,999.0,,121.0
TOYOTA COROLLA,M1,1798.0,72.0,112.0
GOLF,M1,1498.0,110.0,130.0
OCTAVIA,M1,1498.0,110.0,126.0
COROLLA,M1,1987.0,112.0,119.0
OCTAVIA,M1,1968.0,110.0,118.0
C3,M1,1199.0,81.0,134.0
DS 3 CROSSBACK,M1,1499.0,96.0,127.0
TOYOTA C-HR,M1,1798.0,72.0,111.0
SPACETOURER,M1,1997.0,106.0,185.0
PANDA,M1,999.0,52.0,121.0
NISSAN MICRA,M1,999.0,68.0,124.0
TIGUAN,M1,1395.0,110.0,37.0
MICRA / 1.0 /,M1,999.0,68.0,130.0
GLC 300 DE 4MATIC,M1,1950.0,143.0,
ARONA,M1,999.0,81.0,120.0
CLIO,M1,999.0,49.0,119.0
Q3 Sportback e-tron,M1,1395.0,110.0,38.0
SCENIC,M1,1332.0,103.0,149.0
ASTRA SPORTS TOURER+,M1,1496.0,90.0,116.0
RAV4,M1,1987.0,129.0,162.0
KODIAQ,M1,1968.0,147.0,140.0
KODIAQ,M1G,1968.0,147.0,176.0
CAPTUR,M1,1332.0,103.0,137.0
GLC 220 D 4MATIC,M1,1950.0,143.0,176.0
E 220 D,M1,1950.0,143.0,140.0
CAPTUR,M1,999.0,67.0,133.0
FIAT 500X,M1,1248.0,70.0,123.0
SWIFT,M1,1197.0,61.0,106.0
CADDY,M1,1968.0,75.0,127.0
FIESTA,M1,999.0,92.0,115.0
3008,M1,1499.0,96.0,136.0
ID.4 PRO 150KW,M1,,70.0,0.0
CAYENNE E-HYBRID,M1G,2995.0,250.0,71.0
MODEL 3,M1,,100.0,0.0
TOYOTA YARIS,M1,1490.0,68.0,87.0
BERLINGO,M1,1499.0,75.0,136.0
Q3,M1,1498.0,110.0,149.0
BYD Tang,M1,,200.0,0.0
SX4,M1,1373.0,95.0,122.0
X5 XDRIVE 30D,M1G,2993.0,210.0,177.0
MOKKA,M1,1199.0,96.0,125.0
V60,M1,1969.0,145.0,146.0
118D,M1,1995.0,110.0,125.0
RENEGADE,M1,999.0,88.0,147.0
I10,M1,1197.0,62.0,117.0
T-ROC,M1,1968.0,110.0,156.0
MODEL 3,M1,,377.0,0.0
TOYOTA RAV4,M1,2487.0,136.0,22.0
UP!,M1,999.0,48.0,116.0
CROSSLAND X,M1,1199.0,81.0,131.0
CORSA,M1,1499.0,75.0,110.0
FOCUS,M1,999.0,92.0,118.0
COMPASS,M1,1332.0,110.0,156.0
208,M1,1499.0,75.0,106.0
ID.3 PRO S 150KW,M1,,70.0,0.0
COMPASS,M1,1332.0,110.0,154.0
GLA,M1,1332.0,118.0,32.0
XCeed,M1,1598.0,100.0,133.0
2008,M1,1499.0,96.0,126.0
2008,M1,1199.0,74.0,123.0
TUCSON IX35,M1,1598.0,110.0,146.0
CX-5,M1,1998.0,121.0,154.0
FORMENTOR,M1,1984.0,228.0,193.0
STONIC,M1,1197.0,61.0,130.0
208,M1,1199.0,55.0,119.0
C3 AIRCROSS,M1,1499.0,81.0,125.0
TT COUPE,M1,1984.0,180.0,166.0
SORENTO,M1,2151.0,148.0,177.0
,M1,1598.0,110.0,153.0
CAPTUR,M1,999.0,67.0,134.0
GOLF,M1,1968.0,85.0,119.0
ECOSPORT,M1,998.0,92.0,136.0
PASSAT,M1,1968.0,110.0,134.0
Discovery Sport,M1,1997.0,147.0,218.0
MAZDA2,M1,1496.0,66.0,120.0
TOYOTA COROLLA,M1,1798.0,72.0,112.0
IX5,M1,1499.0,101.0,271.0
GLA 180 D,M1,1950.0,85.0,141.0
Cooper,M1,1499.0,100.0,136.0
PUMA,M1,999.0,114.0,127.0
TOUAREG,M1G,3956.0,310.0,247.0
MOKKA,M1,1199.0,96.0,135.0
208,M1,1199.0,74.0,122.0
C5 AIRCROSS,M1,1499.0,96.0,140.0
CEED,M1,1598.0,100.0,122.0
TOUAREG R,M1G,2995.0,250.0,68.0
GOLF GTE,M1,1395.0,110.0,26.0
C3 AIRCROSS,M1,1199.0,96.0,139.0
XC60,M1G,1969.0,145.0,168.0
KAROQ,M1,1968.0,110.0,147.0
CLIO,M1,999.0,67.0,119.0
DUSTER,M1,1461.0,84.0,145.0
FIAT TIPO,M1,1598.0,96.0,121.0
X6 M50I,M1G,4395.0,390.0,260.0
SANDERO,M1,999.0,74.0,115.0
TOYOTA AYGO,M1,998.0,53.0,113.0
C3,M1,1199.0,61.0,122.0
208,M1,1199.0,74.0,122.0
UP!,M1,,61.0,0.0
SANDERO,M1,999.0,74.0,109.0
PASSAT,M1,1395.0,115.0,28.0
208,M1,1199.0,55.0,119.0
A1 CITYCARVER,M1,999.0,70.0,130.0
208,M1,1199.0,74.0,123.0
V90,M1,1969.0,145.0,156.0
TWINGO,M1,,31.0,0.0
SANDERO,M1,999.0,67.0,140.0
CLIO,M1,999.0,49.0,118.0
XCeed,M1,1580.0,77.0,38.0
POLO,M1,999.0,70.0,120.0
Q5,M1,1968.0,150.0,178.0
C-HR,M1,1987.0,112.0,119.0
T-ROC,,999.0,81.0,
NISSAN JUKE,M1,999.0,86.0,135.0
CAPTUR E-TECH HYBRID,M1,1598.0,69.0,113.0
V-KLASSE,M1,1950.0,140.0,205.0
TOYOTA YARIS,M1,1490.0,68.0,87.0
MAZDA CX-30,M1,1998.0,137.0,127.0
CROSSLAND,M1,1199.0,81.0,131.0
ID.3 PRO 150 KW,M1,,150.0,0.0
A 200,M1,1332.0,120.0,138.0
TIGUAN,M1,1968.0,110.0,146.0
e-tron Sportback 55,M1,,172.0,0.0
KADJAR,M1,1461.0,85.0,133.0
PANDA,M1,999.0,52.0,120.0
PICANTO,M1,1197.0,61.0,118.0
CLIO,M1,999.0,67.0,118.0
A4 AVANT,M1,1968.0,150.0,142.0
MODEL 3,M1,,88.0,0.0
118D,M1,1995.0,110.0,133.0
ID.3 PURE 110KW,M1,,70.0,0.0
XC60,M1G,1969.0,223.0,56.0
TIGUAN,M1,1395.0,110.0,43.0
TUCSON,M1,1598.0,132.0,130.0
RAV4,M1,2487.0,131.0,126.0
SCALA,M1,999.0,81.0,134.0
SEAT LEON SP,M1,1498.0,110.0,132.0
FOCUS,M1,1995.0,110.0,128.0
Q3 SPORTBACK E-TRON,M1,1395.0,110.0,39.0
TWINGO,M1,999.0,48.0,117.0
Puma,M1,999.0,91.0,127.0
A3,M1,1395.0,110.0,
SEAT LEON SP E-HYBRID150,M1,1395.0,110.0,26.0
SANDERO,M1,999.0,74.0,115.0
PASSAT,M1,1968.0,110.0,136.0
XC90,M1G,1969.0,173.0,179.0
Q3 SPORTBACK,M1,1498.0,110.0,156.0
2008,M1,1199.0,74.0,123.0
RENEGADE,M1,1598.0,96.0,133.0
MOKKA,M1,1199.0,74.0,127.0
CAPTUR,M1,1332.0,103.0,135.0
DUSTER,M1,999.0,67.0,145.0
T-CROSS / 1.0 / TSI,M1,999.0,70.0,131.0
X1 XDRIVE 25E,M1,1499.0,92.0,40.0
SEAT ATECA,M1,1498.0,110.0,148.0
DUSTER,M1,1461.0,85.0,127.0
C3,M1,1199.0,61.0,125.0
I 30,M1,1482.0,117.0,128.0
TIGUAN,M1,1395.0,110.0,39.0
TUCSON,M1,1598.0,132.0,149.0
OCTAVIA,M1,1968.0,85.0,118.0
500X,M1,999.0,88.0,154.0
318D TOURING G21 B47,M1,1995.0,110.0,135.0
Q3 SPORTBACK,M1,1968.0,110.0,149.0
3008,M1,1199.0,96.0,140.0
FOCUS,M1,999.0,92.0,130.0
TOYOTA RAV4,M1,2487.0,136.0,22.0
V60,M1,1969.0,145.0,147.0
PROACE,M1,1499.0,88.0,172.0
Range Rover Evoque,M1G,1998.0,120.0,172.0
KUGA,M1,1995.0,110.0,133.0
208,M1,1499.0,75.0,107.0
X3 XDRIVE 30E,M1G,1998.0,135.0,47.0
CAPTUR,M1,1461.0,85.0,124.0
IGNIS,M1,1197.0,61.0,110.0
PANDA,M1,999.0,52.0,114.0
DUSTER,M1,1461.0,85.0,132.0
MACAN,M1,1984.0,195.0,226.0
MOKKA,M1,1199.0,74.0,127.0
2008,M1,1499.0,81.0,118.0
B200,M1,1332.0,120.0,146.0
DS 7 CROSSBACK,M1,1598.0,133.0,36.0
T-ROC,M1,999.0,81.0,138.0
CADDY,M1,1968.0,90.0,139.0
INSIGNIA GRAND SPORT,M1,1496.0,90.0,124.0
GOLF,M1,1498.0,110.0,130.0
GLA 180 d,M1,1950.0,85.0,142.0
118i,M1,1499.0,100.0,130.0
CROSSLAND,M1,1199.0,81.0,130.0
GLE 350 DE 4MATIC,M1G,1950.0,143.0,20.0
XC60,M1,1969.0,145.0,163.0
ARTEON,M1,1968.0,147.0,154.0
Q2,M1,1498.0,110.0,141.0
CUPRA LEON,M1,1395.0,110.0,31.0
CROSSLAND,M1,1199.0,96.0,129.0
C-HR,M1,1798.0,72.0,109.0
430I,M1,1998.0,190.0,153.0
TOYOTA GR YARIS,M1,1618.0,192.0,186.0
X1 XDRIVE25E,M1,1499.0,92.0,
OCTAVIA,M1,1498.0,110.0,121.0
SCENIC,M1,1749.0,88.0,155.0
CROSSLAND X,M1,1199.0,96.0,136.0
CLIO,M1,999.0,67.0,117.0
IX XDRIVE40,M1,,240.0,0.0
GLB 200 D 4MATIC,M1,1950.0,110.0,150.0
CLIO,M1,999.0,49.0,119.0
PASSAT,M1,1968.0,90.0,124.0
ZOE,M1,,51.0,0.0
NIRO,M1,,150.0,0.0
GLA 250 E,M1,1332.0,118.0,32.0
NIRO,M1,1580.0,77.0,110.0
208,M1,1199.0,74.0,124.0
CORSA,M1,1199.0,55.0,118.0
RAV4,M1,2487.0,131.0,129.0
T-ROC,M1,1498.0,110.0,149.0
CLA 180,M1,1332.0,100.0,142.0
MITSUBISHI SPACE STAR,M1,1193.0,52.0,125.0
TOYOTA COROLLA,M1,1798.0,72.0,111.0
320D XDRIVE,M1,1995.0,140.0,137.0
T-ROC,M1,1498.0,110.0,155.0
SANDERO,M1,999.0,67.0,115.0
T-ROC,M1,1498.0,110.0,160.0
TUCSON,M1,1598.0,110.0,152.0
208,M1,1199.0,74.0,111.0
CLASSE A,M1,1950.0,110.0,129.0
TIGUAN,M1,1968.0,110.0,147.0
208,M1,,57.0,0.0
DUSTER,M1,1461.0,84.0,144.0
T-ROC,M1,999.0,81.0,138.0
OCTAVIA,M1,1395.0,110.0,24.0
PANDA,M1,999.0,52.0,120.0
A4 AVANT,M1,1984.0,110.0,149.0
KADJAR,M1,1332.0,103.0,141.0
3008,M1,1199.0,96.0,147.0
GLE 350 DE 4MATIC,M1G,1950.0,143.0,
COMPASS,M1,1332.0,110.0,156.0
IBIZA,M1,999.0,81.0,116.0
CAPTUR,M1,1461.0,85.0,129.0
EQA 250,M1,,140.0,0.0
MEGANE,M1,1461.0,85.0,119.0
RENEGADE,M1,1598.0,96.0,133.0
Model 3,M1,,366.0,0.0
TIGUAN,M1,1498.0,110.0,172.0
NISSAN QASHQAI,M1,1332.0,103.0,145.0
TOURAN,M1,1498.0,110.0,148.0
OCTAVIA,M1,1395.0,110.0,24.0
GOLF,M1,1968.0,85.0,118.0
MG ZS EV,M1,,105.0,0.0
MG EHS Plug-in Hybrid,M1,1490.0,119.0,43.0
HIGHLANDER,M1,2487.0,140.0,159.0
RIO,M1,1197.0,62.0,130.0
MEGANE,M1,1332.0,103.0,131.0
T-CROSS,M1,999.0,70.0,133.0
CLIO,M1,1598.0,67.0,98.0
FABIA,M1,999.0,70.0,132.0
TOYOTA COROLLA,M1,1987.0,112.0,118.0
MONDEO,M1,1995.0,140.0,150.0
TUCSON,M1,1598.0,110.0,150.0
NUEVO,M1,1499.0,96.0,120.0
SANDERO,M1,999.0,67.0,128.0
108,M1,998.0,53.0,111.0
YARIS,M1,1490.0,68.0,101.0
CORSA,M1,1199.0,55.0,119.0
RAV4,M1,2487.0,131.0,134.0
C5 AIRCROSS,M1,1499.0,96.0,130.0
VITARA,M1,1373.0,95.0,121.0
TIGUAN,M1,1498.0,110.0,161.0
A 250 E,M1,1332.0,118.0,27.0
T-ROC,M1,1498.0,110.0,143.0
ENYAQ 80,M1,,150.0,0.0
ARONA,M1,999.0,85.0,139.0
500,M1,,43.0,0.0
CLIO,M1,999.0,67.0,119.0
JUKE,M1,999.0,86.0,138.0
EQ FORFOUR,M1,,41.0,0.0
XC60,M1G,1969.0,184.0,172.0
FORESTER,M1,1995.0,110.0,185.0
508,M1,1499.0,96.0,120.0
YARIS,M1,1490.0,68.0,92.0
C4,M1,1499.0,96.0,123.0
IGNIS,M1,1197.0,61.0,110.0
ASTRA SPORTS TOURER+,M1,1199.0,81.0,125.0
308,M1,1499.0,96.0,121.0
COOPER F56 B38,M1,1499.0,100.0,130.0
Q3,M1,1968.0,110.0,166.0
FIESTA,M1,999.0,92.0,115.0
TOURAN,M1,1498.0,110.0,149.0
T-ROC,M1,1498.0,110.0,153.0
3008,M1,1199.0,96.0,140.0
GRANDLAND X,M1,1199.0,96.0,146.0
DODGE DURANGO R/T,M1G,5654.0,268.0,363.0
X1 xDrive25e,M1,1499.0,92.0,41.0
TIPO,M1,999.0,73.0,131.0
S 400 D 4MATIC,M1,2925.0,243.0,191.0
T-ROC,M1,1498.0,110.0,156.0
BENTAYGA HYBRID,M1,2995.0,250.0,82.0
YPSILON,M1,999.0,52.0,125.0
TIGUAN,M1,1498.0,96.0,144.0
COUNTRYMAN COOPER S ALL4,M1,1998.0,131.0,164.0
Q5,M1,1968.0,150.0,173.0
PASSAT,M1,1968.0,147.0,157.0
2008,M1,1499.0,81.0,115.0
330D XDRIVE,M1,2993.0,210.0,153.0
PUMA,M1,999.0,92.0,121.0
MASTER,M1,2299.0,107.0,280.0
FIAT 500,M1,999.0,52.0,115.0
FIAT 500X,M1,1598.0,96.0,134.0
XC40,M1,1477.0,95.0,47.0
308,M1,1199.0,96.0,132.0
Q5,M1,1968.0,150.0,172.0
CX-30,M1,1998.0,90.0,134.0
MITSUBISHI SPACE STAR,M1,1193.0,52.0,113.0
X1 XDRIVE 25E,M1,1499.0,92.0,41.0
T-CROSS,M1,999.0,81.0,147.0
OCTAVIA,M1,1395.0,110.0,24.0
KONA / 1.0 / T-GDI,M1,998.0,88.0,131.0
ZOE,M1,,51.0,0.0
CLIO,M1,1461.0,74.0,109.0
CORSA,M1,,100.0,0.0
SWIFT,M1,1197.0,61.0,121.0
STONIC,M1,998.0,73.0,128.0
"TUCSON,ix35",M1,1598.0,132.0,31.0
GOLF,M1,1498.0,96.0,127.0
A 180 D,M1,1950.0,85.0,134.0
FIAT TIPO,M1,1598.0,96.0,119.0
i 30,M1,1482.0,117.0,126.0
CORSA,M1,1199.0,55.0,117.0
TOYOTA AYGO,M1,998.0,53.0,118.0
C3,M1,1199.0,61.0,124.0
GLC 300 DE 4MATIC,M1,1950.0,143.0,50.0
208,M1,1199.0,96.0,123.0
Q3,M1,1968.0,110.0,155.0
OCTAVIA,M1,1968.0,85.0,109.0
POLO,M1,999.0,70.0,121.0
CORSA,M1,1199.0,55.0,118.0
Focus,M1,1499.0,88.0,111.0
PANDA,M1,1242.0,51.0,122.0
YARIS,M1,998.0,53.0,128.0
CAPTUR,M1,999.0,67.0,133.0
T-ROC,M1,1498.0,110.0,151.0
IONIQ5,M1,,42.0,0.0
2008,M1,1199.0,96.0,134.0
ID.3 PRO S 150 KW,M1,,150.0,0.0
I 10,M1,998.0,49.0,109.0
Kona,M1,1580.0,77.0,112.0
C1,M1,998.0,53.0,110.0
UP!,M1,,61.0,0.0
QASHQAI,M1,1332.0,116.0,145.0
TOYOTA RAV4,M1,2487.0,131.0,129.0
I10 BI-FUEL,M1,998.0,48.0,110.0
MEGANE,M1,1332.0,103.0,133.0
TIGUAN,M1,1968.0,110.0,153.0
I20,M1,1197.0,61.0,121.0
RX450H,M1,3456.0,193.0,179.0
CROSSLAND,M1,1199.0,96.0,136.0
ENYAQ,M1,,,0.0
TIGUAN,M1,1498.0,110.0,165.0
ZOE,M1,,51.0,0.0
LOGAN,M1,999.0,67.0,119.0
PICANTO,M1,998.0,49.0,118.0
SERIE X,M1,1499.0,100.0,147.0
CROSSLAND X,M1,1199.0,96.0,136.0
FIESTA,M1,999.0,91.0,116.0
PUMA,M1,999.0,91.0,126.0
KONA,M1,1580.0,77.0,113.0
CLIO,M1,1461.0,63.0,109.0
320D XDRIVE TOURING G21 XD5,M1,1995.0,140.0,136.0
Fiesta,M1,999.0,91.0,113.0
TOYOTA YARIS CROSS,M1,1490.0,68.0,113.0
XV,M1,1995.0,110.0,180.0
XC90,M1G,1969.0,223.0,65.0
NIRO,M1,1580.0,77.0,110.0
OCTAVIA,M1,1968.0,85.0,112.0
T-CROSS,M1,999.0,70.0,137.0
EVO5,,1598.0,93.0,
V-KLASSE,M1,1950.0,120.0,191.0
GHIBLI TROFEO,M1,3798.0,427.0,284.0
Model 3,M1,,239.0,0.0
TOYOTA GR YARIS,M1,1618.0,192.0,186.0
GLE 350 d 4MATIC Coupe,M1,2925.0,200.0,217.0
A110,M1,1798.0,215.0,157.0
ASTRA SPORTS TOURER,M1,1199.0,81.0,123.0
KAROQ,M1,1968.0,110.0,154.0
PANDA,M1,999.0,52.0,123.0
LODGY,M1,1461.0,85.0,128.0
508,M1,1598.0,133.0,30.0
RIO,M1,998.0,73.0,126.0
TOYOTA C-HR,M1,1798.0,72.0,111.0
TWINGO,M1,,31.0,0.0
COMPASS,M1,1332.0,110.0,153.0
PANDA,M1,999.0,52.0,115.0
C-HR,M1,1987.0,112.0,119.0
KANGOO,M1,1461.0,70.0,146.0
T-CROSS,M1,1498.0,110.0,139.0
500,M1,,43.0,0.0
CAYENNE,M1G,2995.0,250.0,264.0
ARONA,M1,999.0,70.0,126.0
TOYOTA LAND CRUISER (150 SERIES),M1G,2755.0,150.0,251.0
TUCSON,M1,1598.0,132.0,131.0
A 200,M1,1332.0,120.0,145.0
Q2,M1,1968.0,85.0,127.0
PUMA,M1,999.0,92.0,130.0
SANDERO,M1,999.0,67.0,114.0
FIAT 500X,M1,999.0,88.0,143.0
X5 XDRIVE 25D,M1G,1995.0,170.0,195.0
ASTRA,M1,1199.0,96.0,118.0
108,M1,998.0,53.0,111.0
KODIAQ,M1,1498.0,110.0,158.0
SCALA,M1,999.0,81.0,129.0
XC40,M1,1477.0,95.0,165.0
SANDERO,M1,999.0,74.0,115.0
CLA 180 d,M1,1461.0,85.0,120.0
COOPER SE,M1,,75.0,0.0
POLO,M1,999.0,59.0,125.0
208,M1,1199.0,55.0,120.0
TOYOTA AYGO,M1,998.0,53.0,111.0
T-ROC,M1,1498.0,110.0,154.0
SWACE,M1,1798.0,72.0,103.0
FIAT 500X,M1,1598.0,96.0,135.0
"TUCSON,IX35",M1,1591.0,97.0,180.0
CROSSLAND X,M1,1199.0,81.0,141.0
CORSA,M1,,57.0,0.0
OCTAVIA RS,M1,1968.0,147.0,130.0
KONA,M1,,28.0,0.0
RIO,M1,998.0,74.0,123.0
911 Turbo S,M1,3745.0,478.0,274.0
GRANDLAND X,M1,1598.0,133.0,32.0
SCENIC,M1,1332.0,103.0,146.0
TOUAREG,M1G,2967.0,170.0,212.0
GLC 300 DE 4MATIC,M1,1950.0,143.0,54.0
GLE 350 DE 4MATIC,M1G,1950.0,143.0,175.0
C1,M1,998.0,53.0,109.0
AMG A 45S,M1,1991.0,310.0,205.0
TOYOTA AYGO,M1,998.0,53.0,111.0
X7 M50I,M1G,4395.0,390.0,279.0
I10,M1,1197.0,62.0,130.0
TOYOTA CAMRY,M1,2487.0,131.0,126.0
X1 SDRIVE 18I,M1,1499.0,100.0,153.0
COMPASS,M1G,1332.0,132.0,47.0
SWIFT,M1,1197.0,61.0,115.0
POLESTAR 2,M1,,300.0,0.0
ZOE,M1,,51.0,0.0
SEAT ATECA,M1,1968.0,110.0,133.0
Q7,M1,2967.0,210.0,207.0
GLA 250 E,M1,1332.0,118.0,33.0
BERLINGO,M1,1499.0,96.0,138.0
EQC 400 4MATIC,M1,,300.0,0.0
